stop_id,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding,stop_access
busch______/stop/002,QHUIRWA UMA - Defensores del Chaco - Anden Inicial Linea Cafe,Av. Busch. Ándenes de la línea café.,-16.4938,-68.120879,0,busch______/stat/001,1,0
busch______/stop/003,QHUIRWA UMA - Defensores del Chaco - Anden Vuelta Linea Blanca,Av. Busch. Ándenes de la línea blanca.,-16.493825,-68.121336,0,busch______/stat/001,1,0
cementerio_/stat/001,AJAYUNI - Cementerio,"Avenida Entre Ríos, detrás del Cementerio.",-16.497913,-68.152902,1,,1,
cementerio_/stop/001,AJAYUNI - Cementerio - Anden Vuelta Linea Roja,"Avenida Entre Ríos, detrás del Cementerio. Ándenes de la línea roja.",-16.498164,-68.152969,0,cementerio_/stat/001,1,0
del_poeta__/stat/001,JALSURI - Del Poeta,Av. Del Poeta.,-16.510741,-68.121201,1,,1,
del_poeta__/stop/001,JALSURI - Del Poeta - Anden Final Linea Blanca,Av. Del Poeta. Ándenes de la línea blanca.,-16.510827,-68.1211,0,del_poeta__/stat/001,1,0
del_poeta__/stop/002,JALSURI - Del Poeta - Anden Ida Linea Celeste,Av. Del Poeta. Ándenes de la línea celeste.,-16.511154,-68.120352,0,del_poeta__/stat/001,1,0
del_poeta__/stop/003,JALSURI - Del Poeta - Anden Vuelta Linea Celeste,Av. Del Poeta. Ándenes de la línea celeste.,-16.511341,-68.120159,0,del_poeta__/stat/001,1,0
estacion_ce/stat/001,TAYPI UTA - Estación Central,"Avenida Manco Cápac, ex-estación de ferrocarriles.",-16.491656,-68.144576,1,,1,
estacion_ce/stop/001,TAYPI UTA - Estación Central - Anden Inicio Linea Roja,"Avenida Manco Cápac, ex-estación de ferrocarriles. Ándenes de la línea roja.",-16.491502,-68.144771,0,estacion_ce/stat/001,1,0
estacion_ce/stop/002,TAYPI UTA - Estación Central - Anden Inicio Linea Naranja ,"Avenida Manco Cápac, ex-estación de ferrocarriles. Ándenes de la línea naranja.",-16.492068,-68.14478,0,estacion_ce/stat/001,1,0
faro_murill/stat/001,TIQUIRA - Faro Murillo,"El Alto, Faro Murillo.",-16.512255,-68.153648,1,,1,
faro_murill/stop/001,TIQUIRA - Faro Murillo - Anden Inicial Linea Morada 2do Tramo,"El Alto, Faro Murillo. Ándenes de la línea morada, lado El Alto.",-16.512385,-68.153903,0,faro_murill/stat/001,1,0
faro_murill/stop/002,TIQUIRA - Faro Murillo - Anden Inicial Linea Morada 1er Tramo,"El Alto, Faro Murillo. Ándenes de la línea morada, lado La Paz.",-16.512179,-68.153525,0,faro_murill/stat/001,1,0
faro_murill/stop/003,TIQUIRA - Faro Murillo - Anden Ida Linea Plateada,"El Alto, Faro Murillo. Ándenes de la línea plateada.",-16.512119,-68.15387,0,faro_murill/stat/001,1,0
faro_murill/stop/004,TIQUIRA - Faro Murillo - Anden Vuelta Linea Plateada,"El Alto, Faro Murillo. Ándenes de la línea plateada.",-16.512409,-68.153604,0,faro_murill/stat/001,1,0
irpavi_____/stat/001,IRPAWI - Irpavi,"Colegio Militar del Ejército, a la altura de calle 12 de Calacoto.",-16.538049,-68.087279,1,,1,
irpavi_____/stop/001,IRPAWI - Irpavi - Anden Final Linea Verde,"Colegio Militar del Ejército, a la altura de calle 12 de Calacoto. Ándenes de la línea verde.",-16.538107,-68.087379,0,irpavi_____/stat/001,1,0
